Qty;Value;Device;Package;Parts;Description;DESCRIPTION;HEIGHT;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;POPULARITY;SPICEPREFIX
1;;DO41.3;DO41-3;D1;1N400x, 1N5817;;;;;;;;
1;;SPDT.LUGS;SPDT.LUGS;VOICE;SPDT Switches;;;;;;;;
1;;TRIM_US-B25P;B25P;RLED;POTENTIOMETER;;;;;;;;
1;100R;R-US_0204/7;0204/7;R12;RESISTOR, American symbol;;;;;;;;R
2;100k;R-US_0204/7;0204/7;R2, R5;RESISTOR, American symbol;;;;;;;;R
3;100k;TRIM_US-B25P;B25P;BIAS1, BIAS2, C_TRIM;POTENTIOMETER;;;;;;;;
3;100kA;16MM.1;16MM_B.MOUNT;CLN_VOL, DIRT_VOL, GAIN;16mm Poteniometers;;;;;;;;
2;100n;C-EU050-025X075;C050-025X075;C1, C7;CAPACITOR, European symbol;;;;;;;;C
1;100u;CPOL-USE2.5-6;E2,5-6;C12;POLARIZED CAPACITOR, American symbol;;;;;;;14;C
1;10k;R-US_0204/7;0204/7;R7;RESISTOR, American symbol;;;;;;;;R
1;10u;CPOL-USE2.5-6;E2,5-6;C9;POLARIZED CAPACITOR, American symbol;;;;;;;14;C
1;1k5;R-US_0204/7;0204/7;R10;RESISTOR, American symbol;;;;;;;;R
2;1M;R-US_0204/7;0204/7;R1, R11;RESISTOR, American symbol;;;;;;;;R
2;1k8;R-US_0204/7;0204/7;R3, R6;RESISTOR, American symbol;;;;;;;;R
1;1kC;16MM.1;16MM_B.MOUNT;CLN_GAIN;16mm Poteniometers;;;;;;;;
2;1u;C-EU050-045X075;C050-045X075;C5, C8;CAPACITOR, European symbol;;;;;;;;C
2;25kB;16MM.1;16MM_B.MOUNT;BASS, TREB;16mm Poteniometers;;;;;;;;
2;2N5457;2N5457;TO92;Q1, Q2;2n5457, J201, MPF102;;;;;;;;
1;2kB;16MM.1;16MM_B.MOUNT;MID;16mm Poteniometers;;;;;;;;
1;2n2;C-EU050-025X075;C050-025X075;C3;CAPACITOR, European symbol;;;;;;;;C
1;470n;C-EU050-025X075;C050-025X075;C4;CAPACITOR, European symbol;;;;;;;;C
3;47u;CPOL-USE2.5-6;E2,5-6;C2, C6, C11;POLARIZED CAPACITOR, American symbol;;;;;;;14;C
1;4k7;R-US_0204/7;0204/7;R4;RESISTOR, American symbol;;;;;;;;R
1;4n7;C-EU050-025X075;C050-025X075;C10;CAPACITOR, European symbol;;;;;;;;C
1;LED.3;LED.3;3MM_2;D2;LEDs, all sizes;;;;;;;;
1;LM386;LM386;DIP08;IC1;LM386;;;;;;;;
17;LSP10;LSP10;LSP10;+9V, CHAN, CHAN_A1, CHAN_A2, CHAN_A3, CHAN_B1, CHAN_B3, CHAN_C1, CHAN_C2, CHAN_C3, GND, GND_IN, GND_OUT, IN, LED, OUT, SW;SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555;;;;;;;52;
2;MMBFJ201;MMBFJ201;SOT95P240X120-3N;Q3, Q4;N-Channel General Purpose Amplifier;N-Channel General Purpose Amplifier;1.2mm;ON Semiconductor;MMBFJ201;512-MMBFJ201;https://www.mouser.com/Search/Refine.aspx?Keyword=512-MMBFJ201;;
